seller_id,seller_store_name,supplier_email,password_s,receiving_bank,seller_rating,seller_phone_number,seller_address_street,s_post_code,s_city
27329,George-Thompson,george-thompson@gmail.com,q+5uwJYdKK,Lloyds Banking Group plc,2,7466891984,60206 Barber Pine Suite 051,G1,Glasgow
28865,Morales-Smith,morales-smith@gmail.com,I7YR)o0l!j,HSBC Holdings plc,5,7701963648,8702 Bernard Fork Apt. 383,DD10,Montrose
16834,"Hamilton, Brown and Griffith",hamilton- brown and griffith@gmail.com,b*9QxQfK_&,Tesco Bank,5,7457022820,9501 Chavez Trace,G2,Glasgow
22727,"Mcdonald, Cordova and Fuller",mcdonald- cordova and fuller@gmail.com,*F8@DHXlJ2,Virgin Money UK plc,3,7483579818,9442 Jennifer Rapid,DD1,Dundee
17480,"Harris, Martin and Harper",harris- martin and harper@gmail.com,+0E%DiDk0K,Lloyds Banking Group plc,5,7304850019,83013 Hunter Hollow Suite 358,G2,Glasgow
22480,Hansen-Moran,hansen-moran@gmail.com,)P7K#vx_R@,NatWest Group plc,5,7333399071,82244 Sosa Plains,EH1,Edinburgh
11349,"Johnson, Torres and Watson",johnson- torres and watson@gmail.com,y*3dTQaZ#G,Standard Chartered plc,4,7771467051,209 Marshall Throughway Suite 764,DG6,Castle Douglas
45398,Daniels and Sons,daniels and sons@gmail.com,6LdxJDcY^Q,Standard Chartered plc,3,7838777871,9503 Jeffrey Glen,PA1,Paisley
36573,"Davenport, Dominguez and Hart",davenport- dominguez and hart@gmail.com,+9PP7JEdcU,NatWest Group plc,2,7241969785,786 Nicole Place Suite 604,PA19,Gourock
47070,Hudson PLC,hudson plc@gmail.com,$rF$Kg(R8d,Co-operative Bank plc,2,7262348336,46539 Mendoza Ford,EH8,Edinburgh
11364,Garcia-Hart,garcia-hart@gmail.com,LOM1MVXk+n,Tesco Bank,2,7707626599,110 Elliott Green Suite 131,PA19,Gourock
11877,Collins-Fritz,collins-fritz@gmail.com,R4WfSWqH#n,NatWest Group plc,4,7786306116,3982 James Mews Suite 760,DD1,Dundee
36712,"Adams, Smith and Diaz",adams- smith and diaz@gmail.com,&VKquv3j*0,HSBC Holdings plc,5,7241412190,580 Tyler Ranch,AB22,Aberdeen
24940,"Murillo, Long and Adams",murillo- long and adams@gmail.com,1yiWQTmf*_,Metro Bank plc,1,7321105525,4273 David Skyway Apt. 844,PA19,Gourock
38253,Oliver-Morris,oliver-morris@gmail.com,%ZJWqWdbY7,Barclays plc,1,7948892635,73653 Richard Run,KY7,Glenrothes
28654,"Bowen, Gilbert and Marshall",bowen- gilbert and marshall@gmail.com,1d9I*coP+E,Barclays plc,5,7314200913,37508 Timothy Drive,ML12,Biggar
15600,Sanchez and Sons,sanchez and sons@gmail.com,2d2LtwpL#7,Co-operative Bank plc,5,7462711807,77581 Russell Dam Apt. 529,IV2,Inverness
10866,Martin LLC,martin llc@gmail.com,#!^6MBw!s1,Lloyds Banking Group plc,3,7602160358,494 Roberts Point Apt. 228,ML12,Biggar
19705,"Wilson, White and Lopez",wilson- white and lopez@gmail.com,tKJq$2Igg_,Standard Chartered plc,5,7599939173,700 Brian Square Apt. 938,AB22,Aberdeen
39291,Moore Ltd,moore ltd@gmail.com,Vx2Sg%MZO),Lloyds Banking Group plc,1,7788398378,1917 John Well,EH8,Edinburgh
22653,Nielsen-Olson,nielsen-olson@gmail.com,n)n2+SCd_w,Santander UK plc,3,7503755384,30024 David Hills,DD10,Montrose
