seller_id,seller_store_name,supplier_email,password_s,receiving_bank,seller_rating,seller_phone_number,seller_address_street,s_post_code,s_city
75595,Williams-Morris,williams-morris9264@gmail.com,*0yHYUz&Vf,Co-operative Bank plc,3,7462489961,123 Sheila Path Apt. 325,PA19,Gourock
51662,Raymond-Swanson,raymond-swanson5942@gmail.com,mo8J+v1^6&,Santander UK plc,3,7514262559,258 Rodriguez Garden,DG1,Dumfries
65358,Davis Group,davis group6508@gmail.com,B!27P2yGa#,Santander UK plc,4,7307016040,327 Martin Drive,KY7,Glenrothes
74065,"Francis, Oliver and Hensley",francis- oliver and hensley9349@gmail.com,_Kbk5Sjr7),Virgin Money UK plc,1,7193543652,7146 David Drive,G2,Glasgow
94043,Griffin-Curtis,griffin-curtis4993@gmail.com,*8JGnD5gGv,Tesco Bank,4,7157957696,7589 Henry Trail Apt. 548,ML12,Biggar
89052,"Herring, Schultz and Mills",herring- schultz and mills6003@gmail.com,&4+Ar9pE5w,Santander UK plc,5,7925688618,3136 Sean Shores Suite 275,PA19,Gourock
81249,Hart PLC,hart plc7666@gmail.com,3sZAVanz!x,Tesco Bank,1,7374314180,108 Hickman Gardens Apt. 950,EH1,Edinburgh
80996,Smith-Hall,smith-hall8017@gmail.com,p(#1WEi6ua,Tesco Bank,4,7559355744,54769 Guy Harbors Apt. 754,EH8,Edinburgh
98153,Dunlap-Flowers,dunlap-flowers1567@gmail.com,p9EPaXpa!W,HSBC Holdings plc,2,7292166578,4413 Mario Port Suite 251,KA1,Kilmarnock
67179,"Barnes, Shepard and Becker",barnes- shepard and becker0515@gmail.com,BQvBNf*)+9,Tesco Bank,2,7548066357,45241 Moore Isle,EH1,Edinburgh
82925,Ferguson Inc,ferguson inc4986@gmail.com,%(32Ya&x7L,Tesco Bank,3,7927991018,799 Alison Club,ML12,Biggar
89199,Hill-Perez,hill-perez0858@gmail.com,4)6J8GFjCd,Co-operative Bank plc,3,7920409499,532 Michael Highway,ML1,Motherwell
78576,Mcdonald PLC,mcdonald plc6287@gmail.com,x^851MVbuz,Metro Bank plc,3,7734648730,73172 Taylor Forge Suite 789,ML1,Motherwell
61937,Garrett Ltd,garrett ltd6297@gmail.com,U^3h9AxHlJ,Lloyds Banking Group plc,2,7228572179,493 Hale Mills,PA19,Gourock
98545,"James, Simpson and Lee",james- simpson and lee5264@gmail.com,v&$2Mch(U_,Co-operative Bank plc,5,7162243171,5336 Mitchell Village Suite 292,IV2,Inverness
95347,"Harper, Chapman and Marshall",harper- chapman and marshall6301@gmail.com,R765o6Fo_b,Santander UK plc,5,7806372629,74044 Brenda Plains,DG6,Castle Douglas
52336,"Ramos, Davis and Williams",ramos- davis and williams5990@gmail.com,V&B7ChEZQk,Virgin Money UK plc,1,7109093894,56815 Danielle Street Suite 665,AB22,Aberdeen
82292,White PLC,white plc0979@gmail.com,Pn1pSzcC_W,HSBC Holdings plc,5,7538306544,71126 Alicia Lake,KA22,Ardrossan
96630,"Ross, Waters and Weber",ross- waters and weber1397@gmail.com,D^M2$s9h_M,Co-operative Bank plc,3,7409422767,6600 Jensen Mount Apt. 416,KY1,Kirkcaldy
57977,Lewis-Huynh,lewis-huynh3841@gmail.com,zB7ISj+JH),Lloyds Banking Group plc,3,7669501628,365 Ryan Falls,DG1,Dumfries
85371,Lowe Ltd,lowe ltd8975@gmail.com,_+R8JkSolA,Tesco Bank,4,7620160502,935 Joshua Tunnel,DG6,Castle Douglas
68988,"Floyd, Turner and Johnson",floyd- turner and johnson6541@gmail.com,xkM8cwKa0+,Tesco Bank,1,7938367340,0789 Stanley Station,IV2,Inverness
50173,Hale and Sons,hale and sons3084@gmail.com,h+7EuYPXzk,NatWest Group plc,3,7159722667,1840 Walker Mall,KY1,Kirkcaldy
52351,"Smith, Hunt and Campbell",smith- hunt and campbell8532@gmail.com,b9TgetmL%3,Tesco Bank,2,7306552963,44158 Ryan Ramp Suite 878,EH8,Edinburgh
